1,Bulbasaur,45,49,49,65,65,45,grass,poison,1,0,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
2,Ivysaur,60,62,63,80,80,60,grass,poison,1,0,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
3,Venusaur,80,100,123,122,120,80,grass,poison,1,0,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
4,Charmander,39,52,43,60,50,65,fire,,1,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
5,Charmeleon,58,64,58,80,65,80,fire,,1,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
6,Charizard,78,104,78,159,115,100,fire,flying,1,0,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2
7,Squirtle,44,48,65,50,64,43,water,,1,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
8,Wartortle,59,63,80,65,80,58,water,,1,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
9,Blastoise,79,103,120,135,115,78,water,,1,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
10,Caterpie,45,30,35,20,20,45,bug,,1,0,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
11,Metapod,50,20,55,25,25,30,bug,,1,0,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
12,Butterfree,60,45,50,90,80,70,bug,flying,1,0,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
13,Weedle,40,35,30,20,20,50,bug,poison,1,0,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
14,Kakuna,45,25,50,25,25,35,bug,poison,1,0,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
15,Beedrill,65,150,40,15,80,145,bug,poison,1,0,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
16,Pidgey,40,45,40,35,35,56,normal,flying,1,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
17,Pidgeotto,63,60,55,50,50,71,normal,flying,1,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
18,Pidgeot,83,80,80,135,80,121,normal,flying,1,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
19,Rattata,30,56,35,25,35,72,normal,dark,1,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
20,Raticate,75,71,70,40,80,77,normal,dark,1,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
21,Spearow,40,60,30,31,31,70,normal,flying,1,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
22,Fearow,65,90,65,61,61,100,normal,flying,1,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
23,Ekans,35,60,44,40,54,55,poison,,1,0,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
24,Arbok,60,95,69,65,79,80,poison,,1,0,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
25,Pikachu,35,55,40,50,50,90,electric,,1,0,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
26,Raichu,60,85,50,95,85,110,electric,electric,1,0,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
27,Sandshrew,50,75,90,10,35,40,ground,ice,1,0,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
28,Sandslash,75,100,120,25,65,65,ground,ice,1,0,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
